,price,log_price
3786,159.0,5.0689042022202315
3787,201.0,5.303304908059076
3788,100.0,4.605170185988092
3789,100.0,4.605170185988092
3790,125.0,4.8283137373023015
3791,45.0,3.8066624897703196
3792,100.0,4.605170185988092
3793,130.0,4.867534450455582
3794,86.0,4.454347296253507
3795,60.0,4.0943445622221
3796,130.0,4.867534450455582
3797,60.0,4.0943445622221
3798,180.0,5.19295685089021
3799,225.0,5.41610040220442
3800,140.0,4.941642422609304
3801,125.0,4.8283137373023015
3802,100.0,4.605170185988092
3803,300.0,5.703782474656201
3804,557.0,6.322565239927284
3805,106.0,4.663439094112067
3806,179.0,5.187385805840755
3807,225.0,5.41610040220442
3808,300.0,5.703782474656201
3809,280.0,5.634789603169249
3810,149.0,5.003946305945459
3811,60.0,4.0943445622221
3812,59.0,4.07753744390572
3813,85.0,4.442651256490317
3814,46.0,3.828641396489095
3815,50.0,3.912023005428146
3816,250.0,5.521460917862246
3817,65.0,4.174387269895637
3818,89.0,4.48863636973214
3819,284.0,5.648974238161206
3820,55.0,4.007333185232471
3821,70.0,4.248495242049359
3822,115.0,4.74493212836325
3823,50.0,3.912023005428146
3824,80.0,4.382026634673881
3825,200.0,5.298317366548036
3826,175.0,5.1647859739235145
3827,75.0,4.31748811353631
3828,120.0,4.787491742782046
3829,100.0,4.605170185988092
3830,40.0,3.6888794541139363
3831,86.0,4.454347296253507
3832,145.0,4.976733742420574
3833,225.0,5.41610040220442
3834,75.0,4.31748811353631
3835,300.0,5.703782474656201
3836,175.0,5.1647859739235145
3837,129.0,4.859812404361672
3838,120.0,4.787491742782046
3839,165.0,5.10594547390058
3840,55.0,4.007333185232471
3841,310.0,5.736572297479192
3842,310.0,5.736572297479192
3843,330.0,5.799092654460526
3844,175.0,5.1647859739235145
3845,85.0,4.442651256490317
3846,70.0,4.248495242049359
3847,125.0,4.8283137373023015
3848,55.0,4.007333185232471
3849,65.0,4.174387269895637
3850,64.0,4.1588830833596715
3851,80.0,4.382026634673881
3852,175.0,5.1647859739235145
3853,60.0,4.0943445622221
3854,132.0,4.882801922586371
3855,150.0,5.0106352940962555
3856,48.0,3.871201010907891
3857,65.0,4.174387269895637
3858,313.0,5.746203190540153
3859,85.0,4.442651256490317
3860,155.0,5.043425116919247
3861,98.0,4.584967478670572
3862,115.0,4.74493212836325
3863,201.0,5.303304908059076
3864,80.0,4.382026634673881
3865,75.0,4.31748811353631
3866,65.0,4.174387269895637
3867,275.0,5.616771097666572
3868,123.0,4.812184355372417
3869,85.0,4.442651256490317
3870,165.0,5.10594547390058
3871,103.0,4.634728988229636
3872,146.0,4.983606621708336
3873,238.0,5.472270673671475
3874,102.0,4.624972813284271
3875,65.0,4.174387269895637
3876,50.0,3.912023005428146
3877,450.0,6.1092475827643655
3878,85.0,4.442651256490317
3879,48.0,3.871201010907891
3880,75.0,4.31748811353631
3881,69.0,4.23410650459726
3882,200.0,5.298317366548036
3883,170.0,5.135798437050262
3884,120.0,4.787491742782046
3885,45.0,3.8066624897703196
3886,125.0,4.8283137373023015
3887,300.0,5.703782474656201
3888,100.0,4.605170185988092
3889,100.0,4.605170185988092
3890,72.0,4.276666119016055
3891,125.0,4.8283137373023015
3892,120.0,4.787491742782046
3893,225.0,5.41610040220442
3894,75.0,4.31748811353631
3895,60.0,4.0943445622221
3896,950.0,6.856461984594587
3897,65.0,4.174387269895637
3898,120.0,4.787491742782046
3899,110.0,4.700480365792417
3900,1000.0,6.907755278982137
3901,125.0,4.8283137373023015
3902,80.0,4.382026634673881
3903,288.0,5.662960480135946
3904,120.0,4.787491742782046
3905,125.0,4.8283137373023015
3906,121.0,4.795790545596741
3907,225.0,5.41610040220442
3908,60.0,4.0943445622221
3909,100.0,4.605170185988092
